t;u;ref_dx;ref_psi;dx;theta;psi
0.8719;-42;0.0000;0.0000;0.1912;0.0138;-0.0533
0.8762;2;0.0000;0.0000;0.1517;0.0118;-0.0524
0.8788;-27;0.0000;0.0000;0.0198;-0.0026;-0.0499
0.8817;-2;0.0000;0.0000;-0.0836;-0.0030;-0.0507
0.8847;-59;0.0000;0.0000;-0.1540;-0.0301;-0.0487
0.8877;21;0.0000;0.0000;-0.2079;-0.0166;-0.0505
0.8907;35;0.0000;0.0000;-0.2349;0.0038;-0.0490
0.8937;-48;0.0000;0.0000;-0.1735;-0.0174;-0.0497
0.8967;29;0.0000;0.0000;-0.0868;-0.0021;-0.0493
0.8999;29;0.0000;0.0000;-0.0060;0.0116;-0.0484
0.9049;-26;0.0000;0.0000;0.0157;-0.0022;-0.0466
0.9077;-33;0.0000;0.0000;0.0827;-0.0201;-0.0473
0.9107;9;0.0000;0.0000;0.0600;-0.0166;-0.0453
0.9137;-17;0.0000;0.0000;-0.0448;-0.0246;-0.0440
0.9167;-38;0.0000;0.0000;-0.0972;-0.0418;-0.0435
0.9197;-52;0.0000;0.0000;-0.1234;-0.0649;-0.0412
0.9227;21;0.0000;0.0000;-0.1552;-0.0513;-0.0421
0.9257;20;0.0000;0.0000;-0.2459;-0.0375;-0.0412
0.9299;29;0.0000;0.0000;-0.2538;-0.0195;-0.0420
0.9340;21;0.0000;0.0000;-0.0895;-0.0081;-0.0404
0.9367;31;0.0000;0.0000;0.0674;0.0056;-0.0410
0.9397;-19;0.0000;0.0000;0.1459;-0.0068;-0.0403
0.9427;-29;0.0000;0.0000;0.2039;-0.0245;-0.0404
0.9457;-14;0.0000;0.0000;0.1019;-0.0330;-0.0392
0.9487;-34;0.0000;0.0000;-0.0238;-0.0492;-0.0393
0.9517;37;0.0000;0.0000;-0.1428;-0.0288;-0.0398
0.9547;-65;0.0000;0.0000;-0.2397;-0.0565;-0.0389
0.9579;28;0.0000;0.0000;-0.2134;-0.0391;-0.0412
0.9629;44;0.0000;0.0000;-0.1815;-0.0146;-0.0429
0.9657;24;0.0000;0.0000;-0.0907;-0.0015;-0.0420
0.9687;35;0.0000;0.0000;-0.0080;0.0149;-0.0427
0.9717;-25;0.0000;0.0000;0.1082;0.0002;-0.0417
0.9747;-17;0.0000;0.0000;0.1850;-0.0116;-0.0411
0.9777;-8;0.0000;0.0000;0.1486;-0.0183;-0.0398
0.9807;-17;0.0000;0.0000;0.0182;-0.0271;-0.0385
0.9837;25;0.0000;0.0000;-0.1031;-0.0135;-0.0386
0.9867;-53;0.0000;0.0000;-0.2385;-0.0361;-0.0369
0.9899;23;0.0000;0.0000;-0.2502;-0.0210;-0.0375
0.9949;30;0.0000;0.0000;-0.2747;-0.0023;-0.0357
0.9977;33;0.0000;0.0000;-0.1934;0.0160;-0.0371
1.0007;32;0.0000;0.0000;-0.0593;0.0316;-0.0361
1.0037;-23;0.0000;0.0000;0.0451;0.0186;-0.0354
1.0067;15;0.0000;0.0000;0.1535;0.0231;-0.0345
1.0097;-19;0.0000;0.0000;0.1141;0.0109;-0.0348
1.0127;-7;0.0000;0.0000;0.0945;0.0052;-0.0334
1.0157;-26;0.0000;0.0000;0.0098;-0.0085;-0.0338
1.0189;-45;0.0000;0.0000;-0.1073;-0.0293;-0.0335
1.0231;-22;0.0000;0.0000;-0.2593;-0.0362;-0.0331
1.0258;26;0.0000;0.0000;-0.2793;-0.0191;-0.0351
1.0287;33;0.0000;0.0000;-0.2892;0.0013;-0.0332
1.0317;32;0.0000;0.0000;-0.2568;0.0203;-0.0339
1.0347;28;0.0000;0.0000;-0.1471;0.0352;-0.0338
1.0377;-16;0.0000;0.0000;0.0012;0.0260;-0.0318
1.0407;-18;0.0000;0.0000;0.1128;0.0143;-0.0306
1.0437;-12;0.0000;0.0000;0.1125;0.0056;-0.0285
1.0469;-8;0.0000;0.0000;0.0189;0.0005;-0.0272
1.0522;-24;0.0000;0.0000;-0.2337;-0.0085;-0.0257
1.0548;-42;0.0000;0.0000;-0.2851;-0.0250;-0.0241
1.0577;27;0.0000;0.0000;-0.3483;-0.0067;-0.0253
1.0607;30;0.0000;0.0000;-0.3798;0.0133;-0.0230
1.0637;33;0.0000;0.0000;-0.3395;0.0338;-0.0232
1.0667;21;0.0000;0.0000;-0.2072;0.0462;-0.0244
1.0697;21;0.0000;0.0000;-0.0849;0.0563;-0.0234
1.0727;-20;0.0000;0.0000;0.0324;0.0444;-0.0224
1.0759;-28;0.0000;0.0000;0.1284;0.0273;-0.0217
1.0809;-11;0.0000;0.0000;0.0829;0.0197;-0.0195
1.0837;-27;0.0000;0.0000;-0.0521;0.0065;-0.0179
1.0867;45;0.0000;0.0000;-0.1756;0.0304;-0.0164
1.0897;-41;0.0000;0.0000;-0.2748;0.0136;-0.0142
1.0927;31;0.0000;0.0000;-0.2870;0.0322;-0.0147
1.0957;29;0.0000;0.0000;-0.2183;0.0489;-0.0129
1.0987;31;0.0000;0.0000;-0.1653;0.0650;-0.0131
1.1017;26;0.0000;0.0000;-0.0452;0.0770;-0.0120
1.1049;-18;0.0000;0.0000;0.0709;0.0650;-0.0108
1.1092;-25;0.0000;0.0000;0.2037;0.0477;-0.0114
1.1118;-4;0.0000;0.0000;0.1393;0.0422;-0.0098
1.1147;-13;0.0000;0.0000;-0.0052;0.0346;-0.0090
1.1177;-30;0.0000;0.0000;-0.1148;0.0206;-0.0095
1.1207;-64;0.0000;0.0000;-0.2070;-0.0082;-0.0087
1.1237;6;0.0000;0.0000;-0.3092;-0.0007;-0.0092
1.1267;30;0.0000;0.0000;-0.3229;0.0183;-0.0097
1.1297;62;0.0000;0.0000;-0.2923;0.0519;-0.0098
1.1329;19;0.0000;0.0000;-0.1836;0.0629;-0.0098
1.1372;24;0.0000;0.0000;0.0017;0.0731;-0.0101
1.1398;-14;0.0000;0.0000;0.1131;0.0626;-0.0091
1.1427;-26;0.0000;0.0000;0.1687;0.0456;-0.0087
1.1457;2;0.0000;0.0000;0.1218;0.0439;-0.0069
1.1487;-14;0.0000;0.0000;0.0048;0.0355;-0.0061
1.1517;3;0.0000;0.0000;-0.0911;0.0376;-0.0060
1.1547;-43;0.0000;0.0000;-0.1765;0.0181;-0.0045
1.1577;20;0.0000;0.0000;-0.2191;0.0305;-0.0048
1.1609;7;0.0000;0.0000;-0.2218;0.0362;-0.0035
1.1659;12;0.0000;0.0000;-0.1857;0.0440;-0.0040
1.1687;26;0.0000;0.0000;-0.0180;0.0559;-0.0024
1.1717;-5;0.0000;0.0000;0.0845;0.0507;-0.0016
1.1747;0;0.0000;0.0000;0.2105;0.0462;-0.0008
1.1777;-15;0.0000;0.0000;0.1801;0.0348;0.0003
1.1807;-10;0.0000;0.0000;0.0900;0.0274;0.0020
1.1837;-26;0.0000;0.0000;-0.0111;0.0140;0.0027
1.1867;54;0.0000;0.0000;-0.1177;0.0413;0.0043
1.1897;-3;0.0000;0.0000;-0.2085;0.0418;0.0061
1.1929;29;0.0000;0.0000;-0.1977;0.0576;0.0067
1.1972;25;0.0000;0.0000;-0.1176;0.0702;0.0087
1.1998;19;0.0000;0.0000;-0.0214;0.0783;0.0094
1.2027;-10;0.0000;0.0000;0.0828;0.0702;0.0122
1.2057;0;0.0000;0.0000;0.1536;0.0659;0.0145
1.2087;-26;0.0000;0.0000;0.1703;0.0491;0.0148
1.2117;9;0.0000;0.0000;0.1039;0.0509;0.0174
1.2147;-12;0.0000;0.0000;0.0145;0.0435;0.0183
1.2177;-26;0.0000;0.0000;-0.0301;0.0299;0.0193
1.2209;0;0.0000;0.0000;-0.0525;0.0296;0.0208
1.2251;6;0.0000;0.0000;-0.1758;0.0345;0.0222
1.2278;23;0.0000;0.0000;-0.2001;0.0480;0.0234
1.2307;-4;0.0000;0.0000;-0.1562;0.0470;0.0260
1.2337;22;0.0000;0.0000;-0.0594;0.0575;0.0277
1.2367;21;0.0000;0.0000;-0.0110;0.0667;0.0291
1.2397;-4;0.0000;0.0000;0.0506;0.0621;0.0318
1.2427;16;0.0000;0.0000;0.1188;0.0665;0.0336
1.2457;-19;0.0000;0.0000;0.1155;0.0536;0.0340
1.2489;2;0.0000;0.0000;0.1139;0.0519;0.0360
1.2532;-29;0.0000;0.0000;0.0195;0.0361;0.0382
1.2558;16;0.0000;0.0000;-0.0463;0.0437;0.0388
1.2587;1;0.0000;0.0000;-0.0980;0.0448;0.0411
1.2617;7;0.0000;0.0000;-0.1238;0.0489;0.0432
1.2647;18;0.0000;0.0000;-0.0619;0.0576;0.0450
1.2677;4;0.0000;0.0000;0.0065;0.0583;0.0485
1.2707;12;0.0000;0.0000;0.1154;0.0612;0.0507
1.2737;15;0.0000;0.0000;0.1886;0.0642;0.0535
1.2783;-15;0.0000;0.0000;0.3000;0.0505;0.0537
1.2812;-14;0.0000;0.0000;0.2435;0.0388;0.0562
1.2838;-30;0.0000;0.0000;0.1405;0.0210;0.0571
1.2867;30;0.0000;0.0000;0.0515;0.0343;0.0576
1.2897;-49;0.0000;0.0000;-0.0677;0.0103;0.0587
1.2927;11;0.0000;0.0000;-0.0900;0.0165;0.0601
1.2957;17;0.0000;0.0000;-0.0450;0.0251;0.0620
1.2987;48;0.0000;0.0000;-0.0038;0.0475;0.0636
1.3017;9;0.0000;0.0000;0.0916;0.0491;0.0655
1.3049;13;0.0000;0.0000;0.2141;0.0512;0.0671
1.3094;-21;0.0000;0.0000;0.3689;0.0338;0.0672
1.3121;-13;0.0000;0.0000;0.3153;0.0216;0.0682
1.3147;-16;0.0000;0.0000;0.2138;0.0099;0.0682
1.3177;-32;0.0000;0.0000;0.0882;-0.0075;0.0687
